City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
190,Umm Kaddadah,SD,2022-12-20 00:05:40,13.6017,26.6876,66.97,36,7,13.51
191,Chokurdakh,RU,2022-12-20 00:05:41,70.6333,147.9167,-9.08,100,95,2.35
192,Alofi,NU,2022-12-20 00:06:41,-19.0595,-169.9187,80.53,74,6,9.22
193,Coahuayana,MX,2022-12-19 23:58:19,18.7333,-103.6833,75.72,68,0,3.58
194,Magadi,IN,2022-12-20 00:06:42,12.9667,77.2333,62.76,88,97,4.68
195,Linxia,CN,2022-12-20 00:06:42,35.6003,103.2064,14.22,71,4,2.17
196,San Patricio,US,2022-12-20 00:06:43,28.017,-97.5169,51.64,89,100,11.72
197,Eston,CA,2022-12-20 00:06:43,51.1501,-108.7514,-9.06,97,100,7.43
198,Itoman,JP,2022-12-20 00:06:44,26.1247,127.6694,62.62,60,20,13.8
199,Yar-Sale,RU,2022-12-20 00:06:44,66.8333,70.8333,-2.47,100,100,10.63
200,Januaria,BR,2022-12-20 00:06:45,-15.4833,-44.3667,71.56,96,100,3.89
201,Ahipara,NZ,2022-12-20 00:06:45,-35.1667,173.1667,70.48,58,7,6.85
202,Ulundi,ZA,2022-12-20 00:06:46,-28.3352,31.4162,65.26,96,100,1.07
203,Labuhan,ID,2022-12-20 00:06:46,-6.8844,112.2051,79.93,79,95,6.51
204,Saskylakh,RU,2022-12-20 00:06:46,71.9167,114.0833,-8.73,100,100,2.37
205,Saint George,US,2022-12-20 00:05:48,37.1041,-113.5841,45.19,38,0,0.0
206,Alpena,US,2022-12-20 00:06:47,45.0617,-83.4327,27.18,80,100,5.75
207,Acapulco,MX,2022-12-20 00:03:21,16.8634,-99.8901,82.22,74,0,6.91
208,Kruisfontein,ZA,2022-12-20 00:06:48,-34.0033,24.7314,60.48,72,50,12.53
209,Dayong,CN,2022-12-20 00:06:48,25.0209,118.2898,47.32,69,4,3.98
210,Uruguaiana,BR,2022-12-20 00:06:49,-29.7547,-57.0883,82.49,35,82,10.13
